                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                            log_star_age                               luminosity                           conv_mx1_top_r                           center_entropy                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time Step dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                   height 
                 5.1552095253319186E+000                  1.1342034834932010E-008                  4.3824648542209931E-002                  8.4747918532465594E+000                  3.0795639734234366E+009                  4.5083345085290420E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.2657408556650101E+010                  0.0000000000000000E+000                  2.8337134279562832E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.1755334362365968E+000                  1.1093493038494397E-008                  4.3659462048690929E-002                  8.4672283844345433E+000                  3.0679753024047589E+009                  4.7243280113751602E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.3612844426011330E+010                  0.0000000000000000E+000                  2.8233774929824722E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.1953665946213183E+000                  1.0849689351274559E-008                  4.3495616562050407E-002                  8.4596755714226770E+000                  3.0564806929390197E+009                  4.9450786300104326E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.4560080869053429E+010                  0.0000000000000000E+000                  2.8130101334452166E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.2147400643489474E+000                  1.0610507463441989E-008                  4.3333115506660025E-002                  8.4521368675761206E+000                  3.0450805737898688E+009                  5.1706682136401191E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.5547187450870079E+010                  0.0000000000000000E+000                  2.8026085565576324E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.2336929263038003E+000                  1.0375794921867964E-008                  4.3171877910964197E-002                  8.4446115023869535E+000                  3.0337693617697906E+009                  5.4013153425442881E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.6575138271345024E+010                  0.0000000000000000E+000                  2.7921700442841370E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.2522588007171445E+000                  1.0146498751559551E-008                  4.3029149761659620E-002                  8.4370990663784173E+000                  3.0225428956986165E+009                  5.6372254981784316E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.7647480356864502E+010                  0.0000000000000000E+000                  2.7817661251718386E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.2704617073098232E+000                  9.9214474992432343E-009                  4.2870200449189828E-002                  8.4296018440208940E+000                  3.0113998745630574E+009                  5.8785242522013906E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.8726831451637520E+010                  0.0000000000000000E+000                  2.7713242681698358E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.2883162716789176E+000                  9.7007781573934626E-009                  4.2721227316336062E-002                  8.4221232211750667E+000                  3.0003451316310530E+009                  6.1252367371787285E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  4.9797390689821945E+010                  0.0000000000000000E+000                  2.7608565064135570E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.3058372189849434E+000                  9.4847707972502713E-009                  4.2564761938282875E-002                  8.4146633308549035E+000                  2.9893816439232488E+009                  6.3774024741022959E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  5.0921259296331345E+010                  0.0000000000000000E+000                  2.7503871330311512E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 5.3230495520296204E+000                  9.2727277174518423E-009                  4.2409521282516349E-002                  8.4072173491060820E+000                  2.9785053196843934E+009                  6.6352327096801270E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  5.2057348507647469E+010                  0.0000000000000000E+000                  2.7398733368412474E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
